pathway_role	BT20	HS578T	MCF10A	MCF7	MDAMB231	SKBR3
ABL	2.0188	2.1789	2.1072	1.9183	2.0128	2.4918
AKT	2.7999	3.0111	2.6	2.4659	2.8478	3.1065
ALK	4.699	2.9586	3.6576	2.9245	2.8254	3.2518
ALK2	3.041	2.7557	3.4202	4.0458	4.0223	4.699
ATM	2.1397	2.8778	1.8194	2.7852	2.5421	3.4622
AUORA	1.5904	2.8916	1.583	2.0161	2.2518	2.6778
BRAF	1.6897	1.6981	1.2193	1.4862	2.5234	2.5112
BRSK	1.1888	2.0216	1.7147	1.9618	2.757	3.0862
BTK	4.8495	4.9515	3.5035	3.9422	3.5768	4.5055
C-MET	2.0882	2.8303	1.4461	2.3858	2.4331	2.7463
CDC2	4.0829	4.728	4.1249	4.8239	4.8495	4.728
CDK2	3.29	3.8624	3.3292	3.7344	3.0218	3.1668
CDK4	3.426	2.6696	1.4055	2.289	2.5591	0.67778
CDK9	4.0829	4.2967	5.0625	4.6399	3.8305	4.5055
CHK1	2.1006	3.2251	3.0206	3.3373	2.9007	3.3407
CLK	2.9666	5.301	2.0496	3.6108	3.8861	5.301
CSF-1R	4.0969	3.2255	3.4881	2.9788	2.6586	3.2076
DNAPK	2.2441	3.1739	2.8297	3.5302	2.7033	3.3279
EGFR	2.1623	2.0177	3.2972	1.5884	1.7709	2.5947
FAK	3.0726	4.6617	3.5796	4.5485	4.1923	3.6702
FGFR	0.88612	2.2672	1.7509	0.87458	1.9446	1.4549
FLT	3.0465	3.2909	3.2062	4.5775	2.9255	3.9818
GSK3B	2.4127	2.8144	2.0556	2.1657	1.7271	2.6739
HER2	1.917	2.3542	2.6556	2.5421	1.6178	3.2486
HSP90	3.7213	4.2949	4.0069	4.9005	3.4995	4.7614
IGFR	1.2202	1.5834	1.3393	2.4278	1.8032	1.7755
IKK	3.9568	3.9021	3.1642	3.6703	3.6035	4.0935
IRAK	1.7027	1.8645	1.0512	1.3346	1.8827	2.4888
JAK	3.3587	4.0007	2.1105	3.0415	2.7136	4.0009
JNK1	4.0969	4.1871	3.9586	3.5452	3.4685	3.426
JNK3	3.6021	4.3979	2.0703	3.5686	4.2596	5
LCK	5	3.6576	3.2596	3.0655	3.0246	4.3979
LRRK2	2.6767	3.4145	3.3372	3.7825	3.2007	3.1612
MEK1	2.1413	3.5912	3.9327	1.6866	2.9312	1.2358
MTOR	3.2729	3.6024	3.0738	3.1346	2.4177	3.754
PDPK	2.0052	3.9208	1.6012	2.3565	3.757	4.6021
PI3KA	3.324	3.3262	2.7325	2.8865	1.8196	3.051
PI3KB	1.837	2.0952	0.93554	1.9135	1.6877	1.6897
PI3KG	2.3101	2.4269	2.6981	2.7269	2.2443	2.9362
PIP5K3	2.3731	3.757	1.894	3.7447	2.2358	2.4157
PLK	2.5144	2.6307	2.4608	2.1353	2.1275	3.2946
PRKCB	1.6546	2.7178	0.84206	1.1935	1.7729	2.3909
ROCK1	1.8261	2.9393	2.0239	1.7865	2.8239	3.1107
SRC	3.0243	3.4466	3.4168	2.565	2.5002	2.3869
STK10	3.0362	3.7825	2.7224	3.9208	1.7593	3.5686
SYK	1.9324	2.6778	1.0784	1.6002	2.146	1.5626
TOP2	3.4377	4.6021	3.5935	3.9788	3.4881	4.3979
VEGFR1	1.1662	1.9627	1.4122	1.9399	1.3117	1.4059
