Node	Target
ABL	PI3K
ABL	RAS
AKT	MDM2
ALK	RAS
ALK2	RAS
ALK	PI3K
ALK2	PI3K
ATM	CHK1
ATM	TP53
AUORA	PLK
BRAF	RAS
BRSK	
BTK	IKK
C-MET	PI3K
C-MET	RAS
CDC2	CDK
CDK2	CDK
CDK4	CDK
CDK9	CDK
CHK1	Wee1
CLK	
CSF-1R	PI3K
CSF-1R	RAS
DNAPK	TP53
EGFR	PI3K
EGFR	RAS
FAK	PI3K
FGFR	RAS
FLT	RAS
FGFR	PI3K
FLT	PI3K
GSK3B	CellCycle
HER2	PI3K
HER2	RAS
HSP90	AKT
IGFR	PI3K
IGFR	RAS
IKK	NFKB
IRAK	IKK
JAK	PI3K
JAK	STAT
JNK1	TP53
JNK3	TP53
LCK	IKK
LRRK2	
MEK1	ERK
MTOR	P70S6K
MTOR	PRKCB
MTOR	RSP6SK
MTOR	AKT
PDPK	AKT
PI3KA	PI3K
PI3KB	PI3K
PI3KG	PI3K
PIP5K3	AKT
PDPK	RSP6SK
PIP5K3	PDPK
PLK	CDK
PRKCB	CellStructure
ROCK1	Invasion
SRC	ERK
STK10	
SYK	PI3K
TOP2	CellCycle
VEGFR1	PI3K
VEGFR1	RAS
Wee1	CDK
MDM2	TP53
TP53	CDK
TP53	MDM2
CDK	CellCycle
ERK	CellCycle
PI3K	AKT
PI3K	PDPK
RAS	MEK1
AKT	GSK3B
